Abbreviation,Name,Formula (neutral),Formula (Charged),Charge,Compartment,KEGG ID,PubChemID,CheBI ID,Inchi String,Smiles
cpd11478[c],(R)-3-Hydroxybutanoyl-[acyl-carrier protein],,C15H27N2O9PRS,-1,,C04618,,,,
cpd02557[c],Farnesylfarnesylgeraniol,,C40H66O7P2,-2,,C04146,,,,
cpd03443[c],3-Octaprenyl-4-hydroxybenzoate,,C47H69O3,-1,,C05809,,,,
cpd11480[c],D-3-Hydroxydodecanoyl-[acp],,C23H43N2O9PRS,-1,,C05757,,,,
cpd11489[c],3-oxododecanoyl-acp,,C23H41N2O9PRS,-1,,C05756,,,,
cpd11482[c],(R)-3-Hydroxydecanoyl-[acyl-carrier protein],,C21H39N2O9PRS,-1,,C04619,,,,
cpd11487[c],3-oxodecanoyl-acp,,C21H37N2O9PRS,-1,,C05753,,,,
cpd11473[c],(2E)-Hexenoyl-[acp],,C17H29N2O8PRS,-1,,C05748,,,,
cpd11472[c],Hexanoyl-ACP,,C17H31N2O8PRS,-1,,C05749,,,,
cpd11313[c],hemeO,,C49H56FeN4O5,-2,,C15672,,,,
cpd11578[e],hexanesulfonate,,C6H13O3S,-1,,,,,,
cpd11578[c],hexanesulfonate,,C6H13O3S,-1,,,,,,
cpd03913[c],Hydrogenobyrinate diamide,,C45H58N6O12,-4,,C06503,,,,
cpd03914[c],Cob(II)yrinate diamide,,C45H57CoN6O12,-3,,C06504,,,,
cpd03832[c],Hydrogenobyrinate,,C45H54N4O14,-6,,C06399,,,,
cpd00426[c],Homogentisate,,C8H7O4,-1,,C00544,,,,
cpd00763[c],4-Maleylacetoacetate,,C8H6O6,-2,,C01036,,,,
cpd11481[c],R-3-hydroxypalmitoyl-acyl-carrierprotein-,,C27H51N2O9PRS,-1,,C04633,,,,
cpd11485[c],3-oxohexadecanoyl-acp,,C27H49N2O9PRS,-1,,C05762,,,,
cpd17078[c],2-heptyl-4-quinolone,,C16H21ON,0,,,,,,
cpd11479[c],D-3-Hydroxyhexanoyl-[acp],,C17H31N2O9PRS,-1,,C05747,,,,
cpd11486[c],3-Oxohexanoyl-[acp],,C17H29N2O9PRS,-1,,C05746,,,,
cpd00876[c],3-Hydroxyisobutyrate,,C4H7O3,-1,,C06001|C01188,,,,
cpd00287[c],3-Oxo-2-methylpropanoate,,C4H5O3,-1,,C00349|C06002,,,,
cpd00119[c],L-Histidine,,C6H9N3O2,0,,C00135,,,,
cpd00581[c],Urocanate,,C6H5N2O2,-1,,C00785,,,,
cpd00581[e],Urocanate,,C6H5N2O2,-1,,C00785,,,,
cpd00641[c],L-Histidinol,,C6H12N3O,1,,C00860,,,,
cpd00807[c],L-histidinol-phosphate,,C6H12N3O4P,0,,C01100,,,,
cpd11914[c],tRNA(His),,C10H12N5O3R,0,,C01643,,,,
cpd12228[c],L-Histidyl-tRNA(His),,C16H20N8O4R,1,,C02988,,,,
cpd00119[e],L-Histidine,,C6H9N3O2,0,,C00135,,,,
cpd00205[e],K+,,K,1,,C00238,,,,
cpd00205[c],K+,,K,1,,C00238,,,,
cpd00689[c],Porphobilinogen,,C10H13N2O4,-1,,C00931,,,,
cpd00755[c],Hydroxymethylbilane,,C40H38N4O17,-8,,C01024,,,,
cpd00292[c],HMG-CoA,,C27H40N7O20P3S,-4,,C00356,,,,
cpd02775[c],4-Amino-5-phosphomethyl-2-methylpyrimidine,,C6H9N3O4P,-1,,C04556,,,,
cpd11483[c],(R)-3-Hydroxyoctanoyl-[acyl-carrier protein],,C19H35N2O9PRS,-1,,C04620,,,,
cpd11471[c],(2E)-Octenoyl-[acp],,C19H33N2O8PRS,-1,,C05751,,,,
cpd11490[c],3-oxooctanoyl-acp,,C19H33N2O9PRS,-1,,C05750,,,,
cpd17051[c],(3R)-3-Hydroxyoctadecanoyl-[acyl-carrier protein],,C18H35O2X,0,,,,,,
cpd14938[c],3-Oxostearoyl-[acp],,C18H33O2RS,0,,C16219,,,,
cpd00233[c],Tetrahydrobiopterin,,C9H15N5O3,0,,C00272,,,,
cpd00868[c],p-hydroxyphenylpyruvate,,C9H7O4,-1,,C01179,,,,
cpd00227[c],L-Homoserine,,C4H9NO3,0,,C00263,,,,
cpd00809[c],O-Phospho-L-homoserine,,C4H9NO6P,-1,,C01102,,,,
cpd00822[c],O-Succinyl-L-homoserine,,C8H12NO6,-1,,C01118,,,,
cpd00930[c],imidazole acetol-phosphate,,C6H8N2O5P,-1,,C01267,,,,
cpd11484[c],HMA,,C25H47N2O9PRS,-1,,C04688,,,,
cpd15294[c],Tetradecenoyl-ACP,,C25H45N2O8PRS,-1,,,,,,
cpd11491[c],3-oxotetradecanoyl-acp,,C25H45N2O9PRS,-1,,C05759,,,,
cpd00658[c],Isochorismate,,C10H8O6,-2,,C00885,,,,
cpd02566[c],"2,3-Dihydroxy-2,3-dihydrobenzoate",,C7H7O4,-1,,C04171,,,,
cpd00036[c],Succinate,,C4H4O4,-2,,C00042,,,,
cpd02991[c],phosphoribulosylformimino-AICAR-phosphate,,C15H23N5O15P2,-2,,C04916,,,,
cpd02843[c],D-erythro-imidazol-glycerol-phosphate,,C6H10N2O6P,-1,,C04666,,,,
cpd00956[c],1-(2-carboxyphenylamino)-1-deoxyribulose 5-phosphate,,C12H14NO9P,-2,,C01302|C10528,,,,
cpd02210[c],Indoleglycerol phosphate,,C11H13NO6P,-1,,C03506,,,,
cpd00322[c],L-Isoleucine,,C6H13NO2,0,,C00407,,,,
cpd00508[c],3MOP,,C6H9O3,-1,,C03465|C00671,,,,
cpd00322[e],L-Isoleucine,,C6H13NO2,0,,C00407,,,,
cpd02693[c],3-Isopropylmalate,,C7H10O5,-2,,C04411,,,,
cpd00200[c],4MOP,,C6H9O3,-1,,C00233,,,,
cpd01710[c],2-Isopropylmaleate,,C7H8O4,-2,,C02631,,,,
cpd01646[c],2-Isopropylmalate,,C7H10O5,-2,,C02504,,,,
cpd02311[c],4-Imidazolone-5-propanoate,,C6H7N2O3,-1,,C03680,,,,
cpd00161[c],L-Threonine,,C4H9NO3,0,,C00188,,,,
cpd02730[c],3-Deoxy-D-manno-octulosonate8-phosphate,,C8H13O11P,-2,,C04478,,,,
cpd00159[c],L-Lactate,,C3H5O3,-1,,C00186,,,,
cpd00159[e],L-Lactate,,C3H5O3,-1,,C00186,,,,
cpd00221[c],D-Lactate,,C3H5O3,-1,,C00256,,,,
cpd00107[c],L-Leucine,,C6H13NO2,0,,C00123,,,,
cpd11916[c],tRNA(Leu),,C10H12N5O3R,0,,C01645,,,,
cpd12003[c],L-Leucyl-tRNA,,C16H24N6O4R,1,,C02047,,,,
cpd00107[e],L-Leucine,,C6H13NO2,0,,C00123,,,,
cpd02182[c],(R)-S-Lactoylglutathione,,C13H20N3O8S,-1,,C03451,,,,
cpd00428[c],2-Oxopropanal,,C3H4O2,0,,C00546,,,,
cpd00039[e],L-Lysine,,C6H15N2O2,1,,C00047|C16440,,,,
cpd00491[c],D-mannitol-1-phosphate,,C6H14O9P,-1,,C00644,,,,
cpd00308[c],Malonate,,C3H2O4,-2,,C00383,,,,
cpd00308[e],Malonate,,C3H2O4,-2,,C00383,,,,
cpd00386[e],D-Malate,,C4H4O5,-2,,C00497,,,,
cpd00386[c],D-Malate,,C4H4O5,-2,,C00497,,,,
cpd00130[e],L-Malate,,C4H4O5,-2,,C00711|C00149,,,,
cpd00485[c],D-Mannose1-phosphate,,C6H12O9P,-1,,C00636,,,,
cpd00235[c],D-mannose-6-phosphate,,C6H12O9P,-1,,C00275,,,,
cpd00138[e],D-Mannose,,C6H12O6,0,,C00936|C00159,,,,
cpd00138[c],D-Mannose,,C6H12O6,0,,C00936|C00159,,,,
cpd02068[c],3-Methylglutaconyl-CoA,,C27H38N7O19P3S,-4,,C03231,,,,
cpd11470[c],Octanoyl-ACP,,C19H35N2O8PRS,-1,,C05752,,,,
cpd02791[c],methylthioribulose-1-phosphate,,C6H12O7PS,-1,,C04582,,,,
cpd08301[c],2-C-methyl-D-erythritol2-4-cyclodiphosphate,,C5H10O9P2,-2,,C11453,,,,
cpd08286[c],2-C-methyl-D-erythritol4-phosphate,,C5H12O7P,-1,,C11434,,,,
cpd00637[e],D-Methionine,,C5H11NO2S,0,,C00855,,,,
cpd00637[c],D-Methionine,,C5H11NO2S,0,,C00855,,,,
cpd00345[c],5-Methyltetrahydrofolate,,C20H23N7O6,-2,,C00440,,,,
cpd11420[c],trdox,,C6H7NO2R2S2,0,,C00343,,,,
cpd01914[c],L-Methionine S-oxide,,C5H11NO3S,0,,C02989,,,,
cpd11421[c],trdrd,,C6H9NO2R2S2,0,,C00342,,,,
cpd11918[c],tRNA(Met),,C10H12N5O3R,0,,C01647,,,,
cpd12105[c],L-Methionyl-tRNA,,C15H22N6O4RS,1,,C02430,,,,
cpd00060[e],L-Methionine,,C5H11NO2S,0,,C00073|C01733,,,,
cpd17093[c],UDP-N-acetyl-D-mannosamine (2NAc(CH3C=NH)) acid,,C17H27O17N4P2,0,,,,,,
cpd17099[c],"Man(2NAc3NAc)A-(beta1,3)-Fuc2NAc-PP-Undecaprenyl",,C71H119O19N3P3,0,,,,,,
cpd00891[c],L-methylmalonyl-CoA,,C25H36N7O19P3S,-4,,C01213,,,,
cpd00519[c],D-methylmalonyl-CoA,,C25H36N7O19P3S,-4,,C00683,,,,
cpd17095[c],UDP-N-acetyl-D-manosamine (2NAc3NAc) acid,,C19H29O18N4P2,0,,,,,,
cpd17100[c],"Man(2NAc3N)(3,-CH3C=NH)A-(beta1,4)-Man(2NAc3NAc)A-(beta1,3)-Fuc2NAc-PP-Undecaprenyl",,C81H137O28N5P4,0,,,,,,
cpd00314[c],D-Mannitol,,C6H14O6,0,,C00392,,,,
cpd00314[e],D-Mannitol,,C6H14O6,0,,C00392,,,,
cpd00030[e],Mn2+,,Mn,2,,C00034,,,,
cpd00030[c],Mn2+,,Mn,2,,C00034,,,,
cpd11574[e],Molybdate,,H2MoO4,0,,C06232,,,,
cpd11574[c],Molybdate,,H2MoO4,0,,C06232,,,,
cpd08023[e],methanesulfonate,,CH3O3S,-1,,C11145,,,,
cpd08023[c],methanesulfonate,,CH3O3S,-1,,C11145,,,,
cpd02574[c],methylthioribose-1-phosphate,,C6H12O7PS,-1,,C04188,,,,
cpd00347[c],5-10-Methenyltetrahydrofolate,,C20H20N7O6,-1,,C00445,,,,
cpd02738[c],5-Methyltetrahydropteroyltri-L-glutamate,,C30H35N9O12,-4,,C04489,,,,
cpd02555[c],Tetrahydropteroyltri-L-glutamate,,C29H33N9O12,-4,,C04144,,,,
cpd01630[e],"cis,cis-Muconate",,C6H4O4,-2,,C02480,,,,
cpd00528[e],N2,,N2,0,,C00697,,,,
cpd00528[c],N2,,N2,0,,C00697,,,,
cpd00638[c],Deamido-NAD,,C21H24N6O15P2,-2,,C00857,,,,
cpd08325[c],NAC,,C17H18N2O2,0,,C11486,,,,
cpd00873[c],Nicotinate ribonucleotide,,C11H13NO9P,-1,,C01185,,,,
cpd00014[c],UDP,,C9H12N2O12P2,-2,,C00015,,,,
cpd00978[c],dUDP,,C9H12N2O11P2,-2,,C01346,,,,
cpd00115[c],dATP,,C10H13N5O12P3,-3,,C00131,,,,
cpd00013[e],NH3,,H4N,1,,C01342|C00014,,,,
cpd00418[c],NO,,NO,0,,C00533,,,,
cpd00244[e],Ni2+,,Ni,2,,C00291,,,,
cpd00244[c],Ni2+,,Ni,2,,C00291,,,,
cpd00355[c],Nicotinamide ribonucleotide,,C11H15N2O8P,0,,C00455,,,,
cpd02904[c],alpha-Ribazole 5'-phosphate,,C14H18N2O7P,-1,,C04778,,,,
cpd01997[c],Dimethylbenzimidazole,,C9H10N2,0,,C03114,,,,
cpd00075[e],Nitrite,,NO2,-1,,C00088,,,,
cpd00209[c],Nitrate,,NO3,-1,,C00244,,,,
cpd00209[e],Nitrate,,NO3,-1,,C00244,,,,
cpd00659[c],Nitrous oxide,,HN2O,1,,C00887,,,,
cpd02021[c],Succinylbenzoyl-CoA,,C32H40N7O20P3S,-4,,C03160,,,,
cpd02295[c],1-4-Dihydroxy-2-naphthoate,,C11H7O4,-1,,C03657,,,,
cpd00412[c],Deoxyuridine,,C9H12N2O5,0,,C00526,,,,
cpd01217[c],Xanthosine,,C10H12N4O6,0,,C01762,,,,
cpd00249[c],Uridine,,C9H12N2O6,0,,C00299,,,,
cpd00654[c],Deoxycytidine,,C9H13N3O4,0,,C00881,,,,
cpd00367[c],Cytidine,,C9H13N3O5,0,,C00475,,,,
cpd00184[c],Thymidine,,C10H14N2O5,0,,C00214,,,,
cpd00311[c],Guanosine,,C10H13N5O5,0,,C00387,,,,
cpd00007[e],O2,,O2,0,,C00007,,,,
cpd00213[c],Lipoamide,,C8H15NOS2,0,,C15972|C00248,,,,
cpd15901[e],2-oxohexanedioic acid,,C6H6O5,-2,,,,,,
cpd15901[c],2-oxohexanedioic acid,,C6H6O5,-2,,,,,,
cpd03606[c],2-Oxo-3-hydroxy-4-phosphobutanoate,,C4H5O8P,-2,,C06054,,,,
cpd03445[c],2-Octaprenyl-6-hydroxyphenol,,C46H70O2,0,,C05811,,,,
cpd03446[c],2-Octaprenyl-6-methoxyphenol,,C47H72O2,0,,C05812,,,,
cpd15359[c],"2-Octaprenyl-6-methoxy-1,4-benzoquinol",,C47H72O3,0,,,,,,
cpd15361[c],"2-Octaprenyl3-methyl-6-methoxy- 1,4-benzoquinol",,C48H74O3,0,,,,,,
cpd00810[c],Orotidylic acid,,C10H11N2O11P,-2,,C01103,,,,
cpd03444[c],2-Octaprenylphenol,,C46H70O,0,,C05810,,,,
cpd00247[e],Orotate,,C5H3N2O4,-1,,C00295,,,,
cpd03420[c],Precorrin 3A,,C43H44N4O16,-6,,C05772,,,,
cpd03833[c],Precorrin 3B,,C43H44N4O17,-6,,C06406,,,,
cpd00129[c],L-Proline,,C5H8NO2,-1,,C00148,,,,
cpd00644[c],PAN,,C9H16NO5,-1,,C00864,,,,
cpd02968[c],UDP-N-acetylmuramoyl-L-alanyl-D-glutamyl-6-carboxy-L-lysyl-D-alanyl- D-alanine,,C41H61N9O28P2,-4,,C04882,,,,
cpd03494[c],Undecaprenyl-diphospho-N-acetylmuramoyl-L-alanyl-D-glutamyl-meso-2-6-diaminopimeloyl-D-alanyl-D-alanine,,C87H139N7O23P2,-4,,C05897,,,,
cpd17068[c],Pseudomonas aeruginosa Lipid A precursor,,C56H102N2O23P2,0,,,,,,
cpd17066[c],Pseudomonas aeruginosa Lipid A,,C80H146N2O25P2,0,,,,,,
cpd17069[c],Pseudomonas aeruginosa Lipid X,,C28H52NO12P,0,,,,,,
cpd17070[c],"UDP-2-NH-(3OH-C12:0),3-O-(3OH-C10:0)glucosamine",,C37H63N3O20P2,0,,,,,,
cpd17067[c],Pseudomonas Lipid A Disaccharide,,C56H103N2O20P,0,,,,,,
cpd17065[c],Pseudomonas aeruginosa LPS core + KDO2-lipidA,,C156H274N4O95P5,0,,,,,,
cpd02229[c],Bactoprenyl diphosphate,,C55H90O7P2,-2,,C04574,,,,
cpd17057[c],Pseudomonas aeruginosa B-band lipopolysaccharide,,C182H322O116N9P7,0,,,,,,
cpd17055[c],Pseudomonas aeruginosa KDO-lipidA,,C88H157N2O32P2,0,,,,,,
cpd17054[c],Pseudomonas aeruginosa KDO2-lipidA,,C96H168N2O39P2,0,,,,,,
cpd17072[c],UDP-3-O-(3OH-C10:0)-D-glucosamine,,C25H42N3O18P2,0,,,,,,
cpd17071[c],UDP-3-O-(3OH-C10:0)-N-acetylglucosamine,,C27H43N3O19P2,0,,,,,,
cpd03834[c],Precorrin 4,,C44H45N4O17,-7,,C06407,,,,
cpd03839[c],Precorrin 5,,C45H47N4O17,-7,,C06416,,,,
cpd01620[c],Precorrin 2,,C42H40N4O16,-8,,C02463,,,,
cpd03760[c],Precorrin 6B,,C44H49N4O16,-7,,C06319,,,,
cpd03761[c],Precorrin 6A,,C44H47N4O16,-7,,C06320,,,,
cpd03835[c],Precorrin 8,,C45H53N4O14,-7,,C06408,,,,
cpd00938[c],4-Carboxymuconolactone,,C7H4O6,-2,,C01278,,,,
cpd00856[c],"3-Carboxy-cis,cis-muconate",,C7H3O6,-3,,C01163,,,,
cpd00630[c],3-Oxoadipate,,C6H6O5,-2,,C00846,,,,
cpd00197[c],Protocatechuate,,C7H5O4,-1,,C00230,,,,
cpd00263[c],Pyridoxol,,C8H11NO3,0,,C00314,,,,
cpd00215[c],Pyridoxal,,C8H9NO3,0,,C00250,,,,
cpd00478[c],Pyridoxine phosphate,,C8H11NO6P,-1,,C00627,,,,
cpd11608[e],Peptide,,C4H6N2O3R2,0,,C00012,,,,
cpd11608[c],Peptide,,C4H6N2O3R2,0,,C00012,,,,
cpd00805[c],D-Tagatose 6-phosphate,,C6H12O9P,-1,,C01097,,,,
cpd02371[c],"D-Tagatose 1,6-biphosphate",,C6H12O12P2,-2,,C03785,,,,
cpd02069[c],3-Phosphonooxypyruvate,,C3H3O7P,-2,,C03232,,,,
cpd00727[c],2-Phosphoglycolate,,C2H3O6P,-2,,C00988,,,,
cpd00139[c],Glycolate,,C2H3O3,-1,,C00160,,,,
cpd03118[c],(S)-Hydroxydecanoyl-CoA,,C31H51N7O18P3S,-3,,C05264,,,,
cpd17084[c],phenazine-1-carboxamide,,C13H9ON3,0,,,,,,
cpd00066[c],L-Phenylalanine,,C9H11NO2,0,,C00079,,,,
cpd00069[c],L-Tyrosine,,C9H11NO3,0,,C00082|C01536,,,,
cpd00143[c],Phenylpyruvate,,C9H7O3,-1,,C00166,,,,
cpd00066[e],L-Phenylalanine,,C9H11NO2,0,,C00079,,,,
cpd02882[c],4--1-D-Ribitylamino-5-aminouracil,,C9H16N4O6,0,,C04732,,,,
cpd02894[c],4-Amino-2-methyl-5-diphosphomethylpyrimidine,,C6H9N3O7P2,-2,,C04752,,,,
cpd00105[c],D-Ribose,,C5H10O5,0,,C00121,,,,
cpd02201[c],4-phosphopantothenate,,C9H16NO8P,-2,,C03492,,,,
cpd02666[c],(R)-4'-Phosphopantothenoyl-L-cysteine,,C12H21N2O9PS,-2,,C04352,,,,
cpd00834[c],Phosphopantetheine,,C11H22N2O7PS,-1,,C01134,,,,
cpd04099[e],Phosphonate,,H2O3P,-1,,C06701,,,,
cpd04099[c],Phosphonate,,H2O3P,-1,,C06701,,,,
cpd03495[c],Undecaprenyl-diphospho-N-acetylmuramoyl--N-acetylglucosamine-L-ala-D-glu-meso-2-6-diaminopimeloyl-D-ala-D-ala,,C95H152N8O28P2,-4,,C05898,,,,
cpd15654[c],PeptidoglycansubunitofEscherichiacoli,,C40H62N8O21,-2,,,,,,
cpd17085[c],2-heptyl-3-hydroxy-4-quinolone,,C16H21O2N,0,,,,,,
cpd17085[e],2-heptyl-3-hydroxy-4-quinolone,,C16H21O2N,0,,,,,,
cpd02826[c],5'-Phosphoribosylformylglycinamidine,,C8H16N3O8P,0,,C04640,,,,
cpd01777[c],Phosphoribosyl-AMP,,C15H21N5O14P2,-2,,C02741,,,,
cpd02979[c],phosphoribosylformiminoaicar-phosphate,,C15H23N5O15P2,-2,,C04896,,,,
cpd07061[e],Stachydrine,,C7H13NO2,0,,C10172,,,,
cpd07061[c],Stachydrine,,C7H13NO2,0,,C10172,,,,
cpd00129[e],L-Proline,,C5H8NO2,-1,,C00148,,,,
cpd02030[c],3-phosphoshikimate,,C7H9O8P,-2,,C03175,,,,
cpd11456[c],Phosphatidylethanolamine,,C7H11NO8PR2,-1,,C00350,,,,
cpd00738[c],phosphoserine,,C3H7NO6P,-1,,C01005,,,,
cpd02315[c],6-Pyruvoyltetrahydropterin,,C9H11N5O3,0,,C03684,,,,
cpd00118[e],Putrescine,,C4H14N2,2,,C00134,,,,
cpd00419[c],PM,,C8H13N2O2,1,,C00534,,,,
cpd00020[e],Pyruvate,,C3H3O3,-1,,C00022,,,,
cpd17097[c],semiquinone-8,,C49H75O4,0,,,,,,
cpd00220[c],Riboflavin,,C17H20N4O6,0,,C00255,,,,
cpd11225[c],3-4-dihydroxy-2-butanone4-phosphate,,C4H8O6P,-1,,C15556,,,,
cpd02656[c],6-7-Dimethyl-8--1-D-ribityllumazine,,C13H18N4O6,0,,C04332,,,,
cpd00522[c],dTDP-4-oxo-L-rhamnose,,C16H22N2O15P2,-2,,C00688,,,,
cpd17081[c],L-rhamnosyl-3-hydroxydecanoyl-3-hydroxydecanoate,,C26H48O9,0,,,,,,
cpd17080[c],L-rhamnosyl-Lrhamnosyl-3-hydroxydecanoyl-3-hydroxydecanoate,,C32H58O13,0,,,,,,
cpd00105[e],D-Ribose,,C5H10O5,0,,C00121,,,,
cpd00198[c],D-Xylulose5-phosphate,,C5H10O8P,-1,,C00231,,,,
cpd00238[c],Sedoheptulose7-phosphate,,C7H14O10P,-1,,C05382,,,,
cpd00048[c],Sulfate,,O4S,-2,,C00059,,,,
cpd02698[c],"N-Succinyl-L-2,6-diaminopimelate",,C11H16N2O7,-2,,C04421,,,,
cpd02724[c],N-Succinyl-L-2-amino-6-oxopimelate,,C11H12NO8,-3,,C04462,,,,
cpd01078[c],Selenide,,H2Se,0,,C01528,,,,
cpd03078[c],Selenophosphate,,HO3PSe,-2,,C05172,,,,
cpd00550[c],D-Serine,,C3H7NO3,0,,C00740,,,,
cpd00054[e],L-Serine,,C3H7NO3,0,,C00716|C00065,,,,
cpd03525[c],N-Succinyl-L-glutamate,,C9H10NO7,-3,,C05931,,,,
cpd03426[c],Sirohydrochlorin,,C42H38N4O16,-8,,C05778,,,,
cpd00557[c],Siroheme,,C42H36FeN4O16,-8,,C00748,,,,
cpd00383[c],Shikimate,,C7H9O5,-1,,C00493,,,,
cpd00532[c],O2-,,HO2,0,,C00704,,,,
cpd00264[c],Spermidine,,C7H22N3,3,,C00315,,,,
cpd00264[e],Spermidine,,C7H22N3,3,,C00315,,,,
cpd01772[c],Succinylbenzoate,,C11H8O5,-2,,C02730,,,,
cpd00036[e],Succinate,,C4H4O4,-2,,C00042,,,,
cpd00081[c],Sulfite,,HO3S,-1,,C00094|C11481,,,,
cpd00048[e],Sulfate,,O4S,-2,,C00059,,,,
cpd00210[e],Taurine,,C2H7NO3S,0,,C00245,,,,
cpd00210[c],Taurine,,C2H7NO3S,0,,C00245,,,,
cpd00521[c],dTDP-4-oxo-6-deoxy-D-glucose,,C16H22N2O15P2,-2,,C11907,,,,
cpd02113[c],dTDP-rhamnose,,C16H24N2O15P2,-2,,C03319,,,,
cpd06227[c],THF-L-glutamate,,C24H27N8O9,-3,,C03541|C09332,,,,
cpd00305[e],Thiamin,,C12H17N4OS,1,,C00378,,,,
cpd00305[c],Thiamin,,C12H17N4OS,1,,C00378,,,,
cpd04539[c],2-Amino-3-oxo-4-phosphonooxybutyrate,,C4H7NO7P,-1,,C07335,,,,
cpd02211[c],L-2-Amino-acetoacetate,,C4H7NO3,0,,C03508,,,,
cpd11922[c],tRNA(Thr),,C10H12N5O3R,0,,C01651,,,,
cpd12229[c],L-Threonyl-tRNA(Thr),,C14H19N6O5R,0,,C02992,,,,
cpd00161[e],L-Threonine,,C4H9NO3,0,,C00188,,,,
cpd00793[c],Thiamine phosphate,,C12H17N4O4PS,0,,C01081,,,,
cpd00056[c],TPP,,C12H17N4O7P2S,-1,,C00068,,,,
cpd02654[c],4-Methyl-5--2-phosphoethyl-thiazole,,C6H9NO4PS,-1,,C04327,,,,
cpd00794[c],TRHL,,C12H22O11,0,,C01083,,,,
cpd00179[c],Maltose,,C12H22O11,0,,C00208,,,,
cpd00794[e],TRHL,,C12H22O11,0,,C01083,,,,
cpd00523[c],Trehalose 6-phosphate,,C12H22O14P,-1,,C00689,,,,
cpd00065[c],L-Tryptophan,,C11H12N2O2,0,,C00078|C00806,,,,
cpd11923[c],tRNA(Trp),,C10H12N5O3R,0,,C01652,,,,
cpd12336[c],L-Tryptophanyl-tRNA(Trp),,C21H23N7O4R,1,,C03512,,,,
cpd00065[e],L-Tryptophan,,C11H12N2O2,0,,C00078|C00806,,,,
cpd00150[c],HCN,,CHN,0,,C00177|C01326,,,,
cpd00268[c],H2S2O3,,O3S2,-2,,C05529|C00320,,,,
cpd01211[c],Thiocyanate,,CNS,-1,,C01755,,,,
cpd17091[c],"trans,trans-2,3,4,5-tetradehydroacyl-CoA (C8)",,C29H42N7O17P3S,0,,,,,,
cpd17090[c],"Trans-2,3-didehydroacyl-CoA (C8)",,C29H44N7O17P3S,0,,,,,,
cpd11751[c],tRNA(Tyr),,C10H12N5O3R,0,,C00787,,,,
cpd12194[c],L-Tyrosyl-tRNA(Tyr),,C19H22N6O5R,1,,C02839,,,,
cpd00069[e],L-Tyrosine,,C9H11NO3,0,,C00082|C01536,,,,
cpd00525[c],UDP-N-acetylmuramoyl-L-alanyl-D-glutamate,,C28H39N5O23P2,-4,,C00692,,,,
cpd02964[c],UDP-N-acetylmuramoyl-L-alanyl-D-gamma-glutamyl-meso-2-6-diaminopimelate,,C35H51N7O26P2,-4,,C04877,,,,
cpd00175[c],UDP-N-acetyl-D-galactosamine,,C17H25N3O17P2,-2,,C00203,,,,
cpd17096[c],UDP-N-acetyl-D-mannosamine-3-N,,C17H28O17N4P2,0,,,,,,
cpd17094[c],UDP-N-acetyl-D-mannosamine (2NAc3N) acid,,C17H27O17N4P2,0,,,,,,
cpd00861[c],UDP-N-acetyl-D-mannosamine,,C17H25N3O17P2,-2,,C01170,,,,
cpd02820[c],UDP-N-acetylglucosamine enolpyruvate,,C20H26N3O19P2,-3,,C04631,,,,
cpd00890[c],UDP-N-acetylmuramoyl-L-alanine,,C23H33N4O20P2,-3,,C01212,,,,
cpd00773[c],UDP-MurNAc,,C20H28N3O19P2,-3,,C01050,,,,
cpd01352[c],Undecaprenol,,C55H90O,0,,C17558|C01968,,,,
cpd02746[c],all trans Decaprenyl diphosphate,,C50H82O7P2,-2,,C17432|C04509,,,,
cpd00026[c],UDP-glucose,,C15H22N2O17P2,-2,,C00029,,,,
cpd00043[c],UDP-galactose,,C15H22N2O17P2,-2,,C00052,,,,
cpd00144[c],UDPglucuronate,,C15H19N2O18P2,-3,,C00167,,,,
cpd00348[c],D-Galactose 1-phosphate,,C6H12O9P,-1,,C00446|C03384,,,,
cpd17048[c],2-oxo-3-p-tolylpropanate,,C9H7O3,0,,,,,,
cpd17079[c],3-(4-hydroxyphenyl)-2-oxopropanoate,,C9H7O4,0,,,,,,
cpd17052[c],4-carbamoyl-2-oxobutanate,,C5H6O4N,0,,,,,,
cpd00774[c],UroporphyrinogenIII,,C40H36N4O16,-8,,C01051,,,,
cpd00092[e],Uracil,,C4H4N2O2,0,,C00106,,,,
cpd00073[e],Urea,,CH4N2O,0,,C00086,,,,
cpd00300[c],Urate,,C5H4N4O3,0,,C00366,,,,
cpd00156[c],L-Valine,,C5H11NO2,0,,C00183,,,,
cpd00156[e],L-Valine,,C5H11NO2,0,,C00183,,,,
cpd00309[e],XAN,,C5H4N4O2,0,,C00385,,,,
cpd00259[c],D-Lyxulose,,C5H10O5,0,,C00310,,,,
cpd00154[e],Xylose,,C5H10O5,0,,C01394|C00181,,,,
cpd00154[c],Xylose,,C5H10O5,0,,C01394|C00181,,,,
cpd00859[c],Pseudouridine 5'-phosphate,,C9H12N2O9P,-1,,C01168,,,,
cpd00034[c],Zn2+,,Zn,2,,C00038,,,,
cpd00034[e],Zn2+,,Zn,2,,C00038,,,,
cpd00085[e],beta-Alanine,,C3H7NO2,0,,C00099,,,,
cpd11477[c],(2E)-Hexadecenoyl-[acp],,C27H49N2O8PRS,-1,,C05763,,,,
cpd11467[c],(2E)-Tetradecenoyl-[acp],,C25H45N2O8PRS,-1,,C05760,,,,
cpd11476[c],hexadecanoyl-acp,,C27H51N2O8PRS,-1,,C05764,,,,
